Gene_ID	WT.0h.rep1	WT.0h.rep2	WT.0h.rep3	WT.3h.rep1	WT.3h.rep2	WT.3h.rep3	WT.24h.rep1	WT.24h.rep2	WT.24h.rep3
AT1G01140	40.431547	46.17232664	55.70619107	100.5030253	122.4441998	120.8564909	98.14407607	108.7410213	120.4863629
AT1G04013	2.917821542	3.612729208	3.005755533	3.719822816	2.357783208	3.295763256	5.85064897	6.695385437	6.175221798
AT1G01230	34.36006091	33.18527504	32.89346508	42.00016838	41.91745091	38.09691636	61.83996448	66.94576164	61.08394056
AT1G01240	7.602219984	8.006184809	12.11211676	24.18965325	20.74027386	22.65181346	12.73290083	20.25562334	21.60745885
AT1G01300	35.38561088	33.22469681	36.2186878	79.88148118	69.5746669	80.76442076	70.7027504	76.54702723	63.657792
AT1G01420	19.73290687	18.15966228	16.34468435	17.69208223	17.46654601	18.59887238	50.82939641	51.6857934	56.77012265
AT1G01470	68.64224652	63.18622761	66.38814411	130.6288817	133.2311292	137.01769	2309.660385	2169.129579	2454.961258
AT1G01500	5.736901238	7.103200236	6.874657687	19.15509436	21.28242985	19.96455528	48.32605984	43.66861398	44.7788912
AT1G01560	0.477394039	0.640500095	0.636422728	3.536314241	3.090240949	2.723641582	3.416044501	3.555484952	2.939913495
AT1G01650	15.53702981	14.75205146	13.87762087	17.58302049	17.64383302	17.59575978	42.01950495	38.73129306	42.37809615
AT1G01680	0.174879664	0.319095312	0.270224983	0.260105555	0.269780816	0.184362831	1.818230327	2.726397846	1.338571667
AT1G04037	3.991964637	3.641982076	2.813658375	2.70829205	4.537669634	3.765442878	5.898022646	8.337740045	8.922820485
AT1G04047	0.575338584	0.944815749	1.185354969	1.597351852	1.775109914	1.698304613	1.674908624	1.413392635	2.613857741
AT1G01940	20.11913762	18.5172156	17.37281653	17.3676562	16.67483333	15.03424228	43.62006081	44.0577828	50.84524128
AT1G02270	12.32093243	10.92993089	12.83847073	22.77306187	24.67124408	24.24224986	101.5069104	116.093278	122.7805027
AT1G02310	0.476418075	0.558835282	0.315498742	0.607367791	0.7699515	0.645753482	10.86195894	9.099396829	11.86411957
AT1G04103	0	0	0	0.038835886	0.120841445	0	0.244328988	0.444080171	0.889697993
AT1G02370	7.917597535	7.819441879	6.62187273	6.451626228	6.825979894	6.088034783	16.57258349	12.93743129	12.59421872
AT1G02400	7.002604633	8.254672802	6.427997088	10.55275052	14.40356832	16.04378434	9.983839566	10.08846124	16.19459135
AT1G02405	0.550615812	0.56513515	0.425407234	0.204738258	0.637061993	0.580473953	1.216514249	1.430695952	0.815718954
AT1G02460	3.245031379	2.095146976	2.468548762	1.386061925	1.026871343	1.473661146	11.49711464	17.50029741	9.81203833
AT1G02520	3.431394636	3.298079744	3.274720041	3.379675373	3.599811944	3.702158123	5.942078838	5.747001692	5.542541511
AT1G02620	0.075047781	0.136936419	0.386547427	0.669729487	0.733232916	0.830732517	0.195068637	1.595461567	1.482410439
AT1G02820	177.2461651	182.5364987	192.808009	120.0045535	147.4260689	145.7583611	371.6747443	236.2157756	400.2989151
AT1G02830	0.116619192	0.425579928	0.120133728	0	0.479745061	0.491772315	2.061239874	0.661130591	0.345534883
AT1G02860	5.535077017	8.232715785	7.360617609	11.80829339	13.52403499	12.27165837	15.06721752	30.30146262	33.06517921
AT1G02870	34.37237083	38.23436201	35.85006042	39.67152239	37.93356094	35.3319829	81.47544834	68.36951525	78.36407497
AT1G02920	35.98033749	38.13422452	40.89894844	76.78331707	31.63578547	39.01390321	50.88676569	58.73552119	87.76196711
AT1G02930	79.02474346	56.80693628	57.38107513	136.0631311	57.28675823	59.5532749	182.4767754	190.2645765	242.1832433
AT1G04157	0	0	0	0.457400435	0.948829121	0.486308178	0.479608755	0.435856464	0.455594142
AT1G03340	3.512505049	2.764716321	2.731507765	4.165773704	3.612413459	3.303636346	6.516250339	8.231960584	7.142277103
AT1G03530	12.22325632	12.69145346	12.44521267	10.27037009	11.09092239	11.40643241	40.67479591	29.47738597	29.47870344
AT1G03700	0.310009201	0.848490448	0.766444575	0.245914212	0.31882699	0.457548017	1.224807305	1.347405735	0.918536576
AT1G03740	10.53980463	11.48429503	11.14956975	15.41851877	16.04065625	17.53898348	18.03446856	32.68923478	34.41851916
AT1G03750	3.270334731	3.460997731	3.965667583	5.151313867	5.150737848	4.216013464	6.450625496	6.692052565	6.5705961
AT1G03790	0.643448747	0.459419841	0.60520199	0.721237883	0.690522541	0.855299424	1.018037452	1.05733374	1.68545272
AT1G03905	5.484415052	4.304160635	3.887964299	4.47329829	4.124172033	3.481524457	17.13715658	14.57085494	13.36689914
AT1G03960	4.555858485	4.34458989	4.171695798	5.595636645	4.936105255	4.901733443	13.82037331	14.72078438	15.7762639
AT1G03980	0.27522679	0.446394975	0.2520189	0.424517198	0.440308151	0.515824821	0.763078161	0.722360816	0.271826204
AT1G04400	52.99889121	58.24501247	69.43073343	88.8246327	98.60449263	104.0446364	172.3110487	321.7756677	333.0592748
AT1G04430	45.29417406	46.86395796	49.56066432	56.67661515	59.32797082	63.46915589	110.8586841	123.8819983	109.4457517
AT1G04570	2.471216204	1.554114404	1.482926744	39.11059199	32.8421869	47.77927264	145.1049304	97.00224385	88.19632775
AT1G04620	18.8243949	16.66264167	14.43551101	13.36228881	13.64315501	12.82796494	32.95151736	39.58898776	39.05202484
AT1G04780	23.29635294	24.71386129	25.63891674	32.41125592	35.81184573	34.6154192	44.4483976	44.73699135	52.01642698
AT1G04297	0.079229832	0.072283614	0.081617571	0.157122287	0.162966834	0.417631069	0.329502198	0.074860843	0.939010826
AT1G04945	5.596198187	5.511895261	5.126527553	5.337760675	4.580401775	4.246123645	14.53590341	11.49002208	13.44470212
AT1G04990	14.43510762	13.59372917	11.17540933	14.31327727	12.978598	11.85687388	33.53834047	31.2528051	28.36044376
AT1G05040	0	0	0	0.101795349	0.105581876	0.216457646	0.053368927	0.097000697	0.101393355
AT1G05061	0.346600451	0.63242676	0.259669747	1.187241567	0.907350253	1.162622011	0.622443056	0.803833642	1.089193644
AT1G05065	3.039906125	3.169591095	3.280639332	4.593142445	4.019621277	3.891482807	5.64393148	5.676164198	5.861723788
AT1G05300	1.048394753	0.934741956	0.908173479	1.11042461	0.784156299	0.703338274	2.97278154	3.714685771	2.494472056
AT1G05330	0.075429564	0.137633044	0.15540555	0.224378847	1.473926051	0.954238431	0.392121984	0.498890938	0.446985531
AT1G05340	7.544863631	9.936026953	5.541946584	10.66882178	14.30440869	14.24803038	12.96035037	31.42877756	46.00579274
AT1G05420	1.197589391	1.092594623	1.336487728	1.682266023	1.436928717	1.841190819	4.617387173	3.394651304	2.365584966
AT1G05490	0.284959672	0.269975862	0.19193488	0.282554651	0.15780421	0.173314689	0.569756969	0.40386911	0.411333676
AT1G05520	22.01682398	22.67579193	24.51438088	24.80239876	25.32614755	25.942493	45.67198182	45.50288184	41.52228366
AT1G05570	15.68271822	15.17720726	15.54468954	15.50571602	15.02524282	15.31491053	26.65812617	33.27297112	29.28078383
AT1G05730	0.85132807	0.679604311	1.53472275	1.301387089	1.094428669	0.934888415	4.720687678	3.184016375	2.347259632
AT1G05805	8.384237705	9.469153398	9.024084269	27.09046449	28.722564	30.78371406	40.57971013	69.22104814	66.90190573
AT1G05880	0.227238272	0.233230379	0.17556489	0.281650514	0.116850877	0.479121358	5.729316409	4.50885997	3.506728306
AT1G05894	0.52189104	0.267826463	0.504017999	0.905601113	0.805103277	1.237930938	0.847831316	1.29441973	0.773164162
AT1G05910	12.96742719	12.11335203	12.53331448	14.35637441	14.46533446	15.12753694	23.48656488	21.14874709	21.13699425
AT1G06020	0.334091461	0.474135006	0.191199961	0.846583423	1.298022671	1.134893012	0.656117127	0.736560011	0.989890705
AT1G06140	1.352174904	0.935855232	0.768510463	1.803094707	1.318706242	0.983102786	2.205747812	2.092639693	2.233455108
AT1G06440	1.902927092	1.760895472	1.708239946	3.585046627	2.795790365	2.607951794	4.183072694	4.006957014	2.711727833
AT1G06460	28.4423703	28.70852336	27.23561668	28.00755314	31.91793647	32.34538403	108.6880212	116.775548	109.2210217
AT1G04467	0.219896357	0	0.113261672	0.981182077	0.452302018	1.159103179	0.685881165	1.35050864	0.542948527
